-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
文昌,戌,酉,申,未,午,巳,辰,卯,寅,丑,子,亥
文曲,辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯
地劫,亥,子,丑,寅,卯,辰,巳,午,未,申,酉,戌
地空,亥,戌,酉,申,未,午,巳,辰,卯,寅,丑,子
台辅,午,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳
封诰,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑

### 安火星表 本生年支*/本生时
# 按本生时安之
--/--,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
子辰申,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
丑巳酉,卯,辰,巳,午,未,申,酉,戌,亥,子,丑,寅
寅午戌,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,子
卯未亥,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未,申

### 安铃星表 本生年支*/本生时
# 按本生时安之
--/--,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
子辰申,戌,亥,子,丑,寅,卯,辰,巳,午,未,申,酉
丑巳酉,戌,亥,子,丑,寅,卯,辰,巳,午,未,申,酉
寅午戌,卯,辰,巳,午,未,申,酉,戌,亥,子,丑,寅
卯未亥,戌,亥,子,丑,寅,卯,辰,巳,午,未,申,酉

### 安月系诸星表 诸星/本生月
# 按本生月安之，润月生人，作下月论
-/-,正月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
左辅,辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯
右弼,戌,酉,申,未,午,巳,辰,卯,寅,丑,子,亥
天刑,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未,申
天姚,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,子
天巫,巳,申,寅,亥,巳,申,寅,亥,巳,申,寅,亥
天月,戌,巳,辰,寅,未,卯,亥,未,寅,午,戌,寅
阴煞,寅,子,戌,申,午,辰,寅,子,戌,申,午,辰

### 安日系诸星表 诸星
# 按本生日安之
# -/-,安星方法
# 三台,从左辅上起初一，顺行，数到本日生
# 八座,从右弼上起初一，逆行，数到本日生
# 恩光,从文昌上起初一，顺行，数到本日生再退后一步
# 天贵,从文曲上起初一，顺行，数到本日生再退后一步

### 安干系诸星表 诸星/年干
# 按本生年干安之
-/-,甲,乙,丙,丁,戊,己,庚,辛,壬,癸
禄存,寅,卯,巳,午,巳,午,申,酉,亥,子
擎羊,卯,辰,午,未,午,未,酉,戌,子,丑
陀罗,丑,寅,辰,巳,辰,巳,未,申,戌,亥
天魁,丑,子,亥,亥,丑,子,丑,午,卯,卯
天钺,未,申,酉,酉,未,申,未,寅,巳,巳
天官,未,辰,巳,寅,卯,酉,亥,酉,戌,午
天福,酉,申,子,亥,卯,寅,午,巳,午,巳
天厨,巳,午,子,巳,午,申,寅,午,酉,亥

### 安四化诸星表 诸星/年干
# 按本生年干安之
-/-,甲,乙,丙,丁,戊,己,庚,辛,壬,癸
化科,武曲,紫微,文昌,天机,右弼,天梁,太阴,文曲,左辅,太阴
化权,破军,天梁,天机,天同,太阴,贪狼,武曲,太阳,紫微,巨门
化禄,廉贞,天机,天同,太阴,贪狼,武曲,太阳,巨门,天梁,破军
化忌,太阳,太阴,廉贞,巨门,天机,文曲,天同,文昌,武曲,贪狼

### 安生年博士十二星法 禄存
# 寻禄星起博士，丙级星
# 不论男女命，寻禄存星起博士，阳男阴女顺行，阴男阳女逆行
# 博士，力士，青龙，小耗，将军，奏书，飞廉，喜神，病符，大耗，伏兵，官府

### 安支系诸星表 诸星/本生年支
# 按本生年支安之
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
天马,寅,亥,申,巳,寅,亥,申,巳,寅,亥,申,巳
解神,戌,酉,申,未,午,巳,辰,卯,寅,丑,子,亥
天哭,午,巳,辰,卯,寅,丑,子,亥,戌,酉,申,未
天虚,午,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳
龙池,辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯
凤阁,戌,酉,申,未,午,巳,辰,卯,寅,丑,子,亥
红鸾,卯,寅,丑,子,亥,戌,酉,申,未,午,巳,辰
天喜,酉,申,未,午,巳,辰,卯,寅,丑,子,亥,戌
孤辰,寅,寅,巳,巳,巳,申,申,申,亥,亥,亥,寅
寡宿,戌,戌,丑,丑,丑,辰,辰,辰,未,未,未,戌
蜚廉,申,酉,戌,巳,午,未,寅,卯,辰,亥,子,丑
破碎,巳,丑,酉,巳,丑,酉,巳,丑,酉,巳,丑,酉
天空,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,子
月德,巳,午,未,申,酉,戌,亥,子,丑,寅,卯,辰

### 安天才星表 天才/本生年支
# 按本生年支安之
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
天才,命宫,父母,福德,田宅,事业,交友,迁移,疾厄,财帛,子女,夫妻,兄弟

### 安天寿星表 诸星/本生年支
# 按本生年支安之
# 天寿,由身宫起子，顺行，数至本生年支，即安天寿星。

### 安五行长生十二星表 星名/五行局
# 按命宫五行局安之
-/-,,水二局(阳男阴女),水二局(阴男阳女),木三局(阳男阴女),木三局-金四局(阳男阴女),金四局(阴男阳女),土五局(阳男阴女),土五局(阴男阳女),火六局(阳男阴女),火六局(阴男阳女)
长生,申,申,亥,亥,巳,巳,申,申,寅,寅
沐浴,酉,未,子,戌,午,辰,酉,未,卯,丑
冠带,戌,午,丑,酉,未,卯,戌,午,辰,子
临官,亥,巳,寅,申,申,寅,亥,巳,巳,亥
帝旺,子,辰,卯,未,酉,丑,子,辰,午,戌
衰,丑,卯,辰,午,戌,子,丑,卯,未,酉
病,寅,寅,巳,巳,亥,亥,寅,寅,申,申
死,卯,丑,午,辰,子,戌,卯,丑,酉,未
墓,辰,子,未,卯,丑,酉,辰,子,戌,午
绝,巳,亥,申,寅,寅,申,巳,亥,亥,巳
胎,午,戌,酉,丑,卯,未,午,戌,子,辰
养,未,酉,戌,子,辰,午,未,酉,丑,卯

### 安截路空亡表(截空) 星名/本生年干
# 按本生年干安之,丙级星
-/-,甲,己,乙,庚,丙,辛,丁,壬,戊,癸
截空,申,酉,午,未,辰,巳,寅,卯,子,丑

### 安旬中空亡表(旬空) 年支*/年干
# 按本生年之干支,丙级星
-/-,甲,乙,丙,丁,戊,己,庚,辛,壬,癸
子丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
寅卯,辰,巳,午,未,申,酉,戌,亥,子,丑
辰巳,午,未,申,酉,戌,亥,子,丑,寅,卯
午未,申,酉,戌,亥,子,丑,寅,卯,辰,巳
申酉,戌,亥,子,丑,寅,卯,辰,巳,午,未
戌亥,子,丑,寅,卯,辰,巳,午,未,申,酉

### 安天伤、天使表 星名/命宫
# 按命宫所坐宫位安之，天伤永在仆役宫，天使永在疾厄宫
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
天伤,巳,午,未,申,酉,戌,亥,子,丑,寅,卯,辰
天使,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳,午

### 安命主表 星名/命宫
# 按命宫所坐宫位安之
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
命主,贪狼,巨门,禄存,文曲,廉贞,武曲,破军,武曲,廉贞,文曲,禄存,巨门

### 安身主表 星名/本生年支
# 按本生年支安之
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
身主,火星,天相,天梁,天同,文昌,天机,火星,天相,天梁,天同,文昌,天机

# 起大限表 从命宫起初行大限，阳男阴女顺行，阴男阳女逆行

# 起小限表 按本生年支起一岁小限

### 安流年将前诸星表 诸星/年支*
# 按流年地支起将星
-/-,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
将星,子,酉,午,卯,子,酉,午,卯,子,酉,午,卯
攀鞍,丑,戌,未,辰,丑,戌,未,辰,丑,戌,未,辰
岁驿,寅,亥,申,巳,寅,亥,申,巳,寅,亥,申,巳
息神,卯,子,酉,午,卯,子,酉,午,卯,子,酉,午
(华盖),辰,丑,戌,未,辰,丑,戌,未,辰,丑,戌,未
(劫煞),巳,寅,亥,申,巳,寅,亥,申,巳,寅,亥,申
灾煞,午,卯,子,酉,午,卯,子,酉,午,卯,子,酉
天煞,未,辰,丑,戌,未,辰,丑,戌,未,辰,丑,戌
指背,申,巳,寅,亥,申,巳,寅,亥,申,巳,寅,亥
(咸池),酉,午,卯,子,酉,午,卯,子,酉,午,卯,子
月煞,戌,未,辰,丑,戌,未,辰,丑,戌,未,辰,丑
亡神,亥,申,巳,寅,亥,申,巳,寅,亥,申,巳,寅

### 安流年岁前诸星表 诸星/年支
# 按流年之地支起岁建
/,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
岁建,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
晦气,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,子
(丧门),寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
贯索,卯,辰,巳,午,未,申,酉,戌,亥,子,丑,寅
(官符),辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯
小耗,巳,午,未,申,酉,戌,亥,子,丑,寅,卯,辰
大耗,午,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳
龙德,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳,午
(白虎),申,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未
(天德),酉,戌,亥,子,丑,寅,卯,辰,巳,午,未,申
(吊客),戌,亥,子,丑,寅,卯,辰,巳,午,未,申,酉
病符,亥,子,丑,寅,卯,辰,巳,午,未,申,酉,戌

### 安子年斗君表 生时/生月
# 按本生月及本生时
/,正月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
子,子,亥,戌,酉,申,未,午,巳,辰,卯,寅,丑
丑,丑,子,亥,戌,酉,申,未,午,巳,辰,卯,寅
寅,寅,丑,子,亥,戌,酉,申,未,午,巳,辰,卯
卯,卯,寅,丑,子,亥,戌,酉,申,未,午,巳,辰
辰,辰,卯,寅,丑,子,亥,戌,酉,申,未,午,巳
巳,巳,辰,卯,寅,丑,子,亥,戌,酉,申,未,午
午,午,巳,辰,卯,寅,丑,子,亥,戌,酉,申,未
未,未,午,巳,辰,卯,寅,丑,子,亥,戌,酉,申
申,申,未,午,巳,辰,卯,寅,丑,子,亥,戌,酉
酉,酉,申,未,午,巳,辰,卯,寅,丑,子,亥,戌
戌,戌,酉,申,未,午,巳,辰,卯,寅,丑,子,亥
亥,亥,戌,酉,申,未,午,巳,辰,卯,寅,丑,子

### 诸星在十二宫庙旺利陷表 十二宫/亮度
/,庙,旺,得地,利益,平和,不得地,陷
子,机府阴相梁破禄,武同贪巨杀,昌曲,,紫廉,,阳羊火铃
丑,紫武府阴贪相杀昌曲机羊陀,梁破,火铃,廉,,阳同巨,机
寅,廉府巨相梁杀禄火铃,紫阳阴,机武破,同,贪曲,,昌陀
卯,阳巨梁禄,紫机杀曲,府,武贪昌火铃,同廉,,阴相破羊
辰,武府贪梁杀羊陀,阳破,紫相昌曲,机廉,同,,阴巨火铃
巳,同昌曲禄,紫阳巨,府相火铃,,机武杀破,,廉阴贪梁陀
午,紫机相粱破禄火铃,阳武府贪巨杀,,,廉,阴,同昌曲羊
未,紫武府贪杀羊陀,梁破曲,阳相,廉昌火铃,,同阴巨,机
申,廉巨相杀禄,紫同,机阳武府破昌曲,阴,贪,,粱陀火铃
酉,巨昌曲禄,紫机府阴杀,梁火铃,武贪,阳同廉,,相破羊
戌,武府贪梁杀羊陀火铃,阴破,紫相,机廉,同,阳,巨昌曲
亥,同阴禄,紫巨曲,府相,昌火铃,机武杀破,,阳廉贪梁陀

### 诸星级行分化一览表 星名/级行分化
-/-,星级,五行,斗分,主化
紫薇,甲,土,南北,尊
天机,甲,木,南三,善
太阳,甲,火,南北,贵
武曲,甲,金,北六,财
天问,甲,水,南四,福
廉贞,甲,木火,北五,囚
天府,甲,土,南一,贤能
太阴,甲,水,南北,富
贪狼,甲,水木,北一,桃花
巨门,甲,水,北二,暗
天相,甲,水,南五,印
天梁,甲,土,南二,阴
七杀,甲,火金,南六,将星
破军,甲,水,北七,耗
文昌,甲,金,南北,科甲
文曲,甲,水,北四,科甲
左辅,甲,土,南北,助力
右弼,甲,水,南北,助力
天魁,甲,火,,阳贵
天钺,甲,火,,阴贵
禄存,甲,土,北三,爵禄
擎羊,甲,火金,北助,刑
陀罗,甲,金,北助,忌
火星,甲,火,南助,杀
铃星,甲,火,南助,杀
化禄,甲,土,,财禄
化权,甲,木,,权势
化科,甲,水,,声名
化忌,甲,水,,多咎
天马,乙,火,,主动
地劫,乙,火,,多灾
地空,乙,火,,失
台辅,乙,土,,主贵
封诰,乙,土,,主贵
天刑,乙,火,,孤克
天姚,乙,水,,风流
天巫,乙,,,升迁
天月,乙,,,主病
阴煞,乙,,,主有小人
三台,乙,土,,主贵
八座,乙,土,,主贵
恩光,乙,火,,主受殊恩
天贵,乙,土,,主贵
天官,乙,土,,贵显
天福,乙,土,,爵禄
解神,乙,,,解灾
天哭,乙,金,,主忧伤
天虚,乙,土,,主忧伤
龙池,乙,水,,主科甲
凤阁,乙,土,,主科甲
红鸾,乙,水,,主婚姻
天喜,乙,水,,主喜庆
孤辰,乙,火,,主孤
寡宿,乙,火,,主寡
蜚廉,乙,火,,主孤克
破碎,乙,火,,主损耗
天才,乙,木,,主才能
天寿,乙,土,,主有寿
博士,丙,水,,聪明
力士,丙,火,,权势
青龙,丙,水,,喜气
小耗,丙,火,,耗财
将军,丙,木,,威猛
奏书,丙,金,,福禄
飞廉,丙,火,,孤克
喜神,丙,火,,吉庆
病符,丙,水,,主灾病
大耗,丙,火,,退祖、破财
伏兵,丙,火,,口舌、是非
官府,丙,火,,口舌、刑杖
截空,丙,,,诸空
旬空,丙,,,诸空
